episode,reward,steps,avg10,avg100,epsilon,time_elapsed,real_time_elapsed,timestamp
6900,-11.97298049926758,127,-20.187024917602507,-21.625540490150346,0.01,0.014665374999992764,0.0,2025-04-09 20:55:14.604714
7000,-3.121408843994141,92,-27.728630771636894,-24.531204931735793,0.01,0.0017916250000098444,0.0,2025-04-09 20:55:20.552011
7100,-21.03206787109372,210,-13.596169738769527,-15.678335147857632,0.01,0.04879233399998384,0.0,2025-04-09 20:55:23.763196
7200,-3.7333591461181643,78,-10.839176120758072,-14.640341434001932,0.01,0.00154549999996334,0.0,2025-04-09 20:55:26.799780
7300,-3.589729690551758,46,-27.907270002364648,-23.0938185358046,0.01,0.0008768749999603642,0.0,2025-04-09 20:55:32.501049
7400,-90.19830474853512,849,-22.435611419677755,-17.567343318462388,0.01,0.27133087499998965,0.0,2025-04-09 20:55:36.168013
7500,-43.391513061523675,412,-16.429426937103294,-13.324179076194778,0.01,0.13099070900000243,0.0,2025-04-09 20:55:38.696440
7600,-25.605020141601543,226,-28.081584701538112,-17.73510216426848,0.01,0.06342133399999739,0.0,2025-04-09 20:55:42.583598
7700,-5.2042091369628904,76,-22.217397003173698,-16.13542744922638,0.01,0.0015139999999860265,0.0,2025-04-09 20:55:46.013943
7800,-56.63384399414102,533,-24.265774974823124,-17.055283590316833,0.01,0.17717591699999957,0.0,2025-04-09 20:55:49.721568
7900,-10.426667022705079,115,-6.69502067565918,-17.647146332740757,0.01,0.010563459000024977,0.0,2025-04-09 20:55:53.527355
8000,-6.071952819824219,64,-20.831945953369214,-20.691878870963993,0.01,0.0012107090000199605,0.0,2025-04-09 20:55:58.557940
8100,-16.545470428466796,115,-10.331175451278686,-14.335453157901783,0.01,0.019691416000000572,0.0,2025-04-09 20:56:01.352682
8200,-122.7470321655255,1167,-28.316651916503748,-16.6470672340393,0.01,0.43476704199997585,0.0,2025-04-09 20:56:05.158104
8300,-18.778128814697244,198,-17.41252937316899,-14.873464767456042,0.01,0.04564025000001948,0.0,2025-04-09 20:56:08.371260
8400,-74.05459442138734,712,-12.345773439407411,-14.320312201023112,0.01,0.2240012920000254,0.0,2025-04-09 20:56:11.381388
8500,-31.680019378662173,319,-12.708534889221198,-18.348425129890416,0.01,0.08593316600001799,0.0,2025-04-09 20:56:15.351022
8600,-10.360082244873048,119,-16.39103218078619,-20.11657025814078,0.01,0.012663166999971054,0.0,2025-04-09 20:56:20.155855
8700,-9.327310943603516,77,-8.407418060302733,-11.857009025573722,0.01,0.007002999999997428,0.0,2025-04-09 20:56:22.175073
8800,-47.36366500854519,429,-35.48331710815427,-12.785657131195062,0.01,0.1393646249999847,0.0,2025-04-09 20:56:24.516400
8900,-8.999567413330078,61,-9.685401935577389,-12.89382250404354,0.01,0.004588791999992736,0.0,2025-04-09 20:56:26.874004
9000,-5.556459426879883,70,-12.048552360534684,-11.971139351844794,0.01,0.0025312920000146732,0.0,2025-04-09 20:56:28.843571
9100,-6.0995849609375,63,-13.117885894775384,-12.981072521209729,0.01,0.0030130000000099244,0.0,2025-04-09 20:56:31.402958
9200,-14.61744537353515,142,-9.30790515899658,-14.627783677101142,0.01,0.027665667000007943,0.0,2025-04-09 20:56:34.632320
9300,-98.8900695800785,736,-25.168640747070402,-14.12147565841677,0.01,0.3171180839999579,0.0,2025-04-09 20:56:37.610056
9400,-75.62926025390676,749,-17.270725173950247,-15.026617726326027,0.01,0.29365762499998027,0.0,2025-04-09 20:56:40.982030
9500,-11.009177398681642,89,-10.169631671905515,-10.760342058181772,0.01,0.014476166999997986,0.0,2025-04-09 20:56:42.697797
9600,-14.266867065429683,129,-11.847062397003167,-9.610635020732882,0.01,0.023539125000013428,0.0,2025-04-09 20:56:44.065003
9700,-3.4075958251953127,92,-9.882156801223758,-10.193868184089661,0.01,0.0018021249999833344,0.0,2025-04-09 20:56:45.606001
9800,-22.103733825683562,212,-11.416660156249993,-12.375313177108772,0.01,0.0592076249999991,0.0,2025-04-09 20:56:48.050546
9900,-7.309611511230469,81,-18.64916797637948,-13.096220160007476,0.01,0.0015885840000464668,0.0,2025-04-09 20:56:50.973246
10000,-2.5009355545043945,70,-5.981724548339836,-11.291165059566504,0.01,0.0012737089999745876,0.0,2025-04-09 20:56:53.259438
