episode,height,reward,steps,success,epsilon,actions_forward,actions_backward,actions_left,actions_right
275,67.08156100014762,-3.146768235380958,95,False,0.759467619567903,6,3,5,6
276,64.86748017191901,-3.3693412611745845,83,False,0.7587081519483351,4,2,3,0
277,67.7430410112138,-3.4003346019239316,84,False,0.7579494437963867,2,1,1,4
278,68.96955468045043,-3.1981370007409193,83,False,0.7571914943525904,1,1,2,2
279,71.46786828033078,-3.070296088139113,80,False,0.7564343028582378,0,1,1,0
280,57.45430644014432,-3.145153448445801,73,False,0.7556778685553796,0,0,2,1
281,56.359255051326436,-3.4457456458152187,71,False,0.7549221906868242,1,0,1,0
282,57.03528349429012,-2.6725385783756153,74,False,0.7541672684961374,0,0,1,4
283,54.1118189148292,-2.837949868177639,70,False,0.7534131012276413,1,0,0,2
284,67.0838524175299,-3.589124455150265,83,False,0.7526596881264136,1,3,1,2
285,63.80522052664018,-3.086649808023579,73,False,0.7519070284382872,0,0,0,0
286,74.94516342009389,-3.4207293637151976,80,False,0.7511551214098489,0,0,0,0
287,57.51416960378179,-3.4837067321928856,83,False,0.750403966288439,4,1,6,2
288,77.78379435033945,-3.364332903618631,82,False,0.7496535623221505,0,0,0,0
289,62.73338967944066,-2.709551308198482,78,False,0.7489039087598284,0,1,1,3
290,71.62884750350328,-2.6688777116601403,80,False,0.7481550048510686,0,0,1,1
291,60.13110620575682,-3.316398611910617,73,False,0.7474068498462175,1,0,0,0
292,61.09973951840055,14.023585012198353,76,True,0.7466594429963713,1,0,1,2
293,58.05689300916254,7.738451191070341,74,True,0.745912783553375,0,2,0,2
294,71.0825508820675,-3.3116680538997407,82,False,0.7451668707698216,0,1,1,2
295,66.56700001187552,8.522647846058979,77,True,0.7444217038990517,0,1,0,1
296,66.55990345341921,14.736331748782831,77,True,0.7436772821951526,1,0,1,0
297,63.200899873553396,-3.30754061911893,77,False,0.7429336049129575,2,1,1,0
298,54.53859926740943,-3.1259607585152267,67,False,0.7421906713080445,0,0,0,0
299,65.14893626959562,-3.282927976975954,82,False,0.7414484806367364,1,3,1,2
300,75.13175707977223,-2.8134657205971765,82,False,0.7407070321560997,1,0,0,1
301,50.4057069584685,-3.062150171731177,64,False,0.7399663251239436,0,0,0,0
302,53.948154887646304,-3.0106531312455127,73,False,0.7392263587988196,2,1,2,1
303,63.848649145852484,-3.1147027426923772,86,False,0.7384871324400207,1,2,3,6
304,72.91813153163166,-2.8763819746551196,81,False,0.7377486453075807,1,0,0,1
305,61.24090277489193,-3.612766259642636,87,False,0.737010896662273,3,4,4,4
306,66.21568584261573,-3.249266540439474,78,False,0.7362738857656108,1,1,1,0
307,54.664386469483574,-3.2824933839088972,67,False,0.7355376118798452,0,0,0,0
308,52.0574662335465,3.839744261208187,70,True,0.7348020742679654,0,2,0,2
309,78.9967453132914,-2.7761814471628985,85,False,0.7340672721936974,0,2,0,1
310,69.54435561179245,-2.7600508726212514,79,False,0.7333332049215037,0,1,1,0
311,53.82521175587253,-3.5674227269623353,79,False,0.7325998717165821,2,4,3,2
312,52.68015001281038,-3.3574770228280593,74,False,0.7318672718448656,2,1,3,1
313,62.50333426908573,-3.305607034856834,77,False,0.7311354045730207,0,3,1,0
314,51.956052053353304,-3.24770824362638,66,False,0.7304042691684477,0,0,0,0
315,61.544242338316465,11.756275919916138,80,True,0.7296738648992792,3,1,1,3
316,66.36687086193766,-3.0756676282225315,76,False,0.7289441910343799,1,0,0,0
317,78.53284115970399,-3.3858031082911726,86,False,0.7282152468433455,0,0,0,3
318,59.29314260465135,-2.808504258566935,74,False,0.7274870315965022,0,1,0,2
319,65.62471290302925,-3.227175282013942,80,False,0.7267595445649057,1,1,2,1
320,66.55111972021676,-3.3369740848595013,84,False,0.7260327850203407,3,3,2,1
321,68.12858326816799,-3.291971697093609,82,False,0.7253067522353204,4,1,0,1
322,56.06383886201561,-2.9452579546072544,74,False,0.724581445483085,0,0,2,3
323,56.15073303932501,6.374498845419212,74,True,0.723856864037602,1,1,3,0
